PLACE,DATE,Temp,Presure,Humidity,Wind,precipitation,afected_people
BALASORE,15-4-2024,40,1012,89,17,0,1
Sundargarh,15-4-2024,40,1012,80,9,0,35
Mayurbhanj,15-4-2024,39,1011,93,6,0,7
ANGUL,15-4-2024,40,1012,89,17,0,7
BALASORE,17-6-2023,34,1002,88,6,0,2
Dhenkanal,17-6-2023,44,1003,90,20,0,4
Ganjam,17-6-2023,44,1003,90,20,0,2
Sundargarh,17-6-2023,44,1002,53,7,0,2
Sambalpur,17-6-2023,44,1002,53,7,0,2
Jagatsinghpur,17-6-2023,45,1003,90,20,0,1
Kendrapara,17-6-2023,44,1003,90,20,0,1
Bargarh,17-6-2023,44,1002,53,7,0,1
Jajpur,17-6-2023,44,1002,53,7,0,1
Cuttack,17-6-2023,41,1004,100,22,0,1
Balangir,17-6-2023,44,1002,53,7,0,1
BHUBNESWAR,1-4-2023,28.4,1009.8,99,10,33,0
BHUBNESWAR,2-4-2023,34,1008.2,96,5,10.9,0
BHUBNESWAR,3-4-2023,36.6,1008.1,98,9,8.9,0
BHUBNESWAR,4-4-2023,34.6,1008.8,94,12,0,0
BHUBNESWAR,5-4-2023,37.2,1008.5,91,7,0,0
BHUBNESWAR,6-4-2023,36.6,1010.5,95,16,0,0
BHUBNESWAR,7-4-2023,36.8,1012,96,7,0,0
BHUBNESWAR,8-4-2023,36.8,1013.8,96,7,0,0
BHUBNESWAR,9-4-2023,37.2,1013.4,86,7,0,0
BHUBNESWAR,10-4-2023,39,1011.1,94,9,0,0
Sambalpur,3-6-2024,38,1001,48,6,0,18
Bargarh,3-6-2024,38,1001,48,6,0,8
Balangir,3-6-2024,38,1001,48,6,1.6,13
Nuapada,3-6-2024,40,1001,30,4,0,9
Sonepur,3-6-2024,38,1001,48,6,0,7
Kalahandi,3-6-2024,35,1003,69,14,0,8
Sundargarh,2-6-2024,40,1000,52,13,0,35
Balasore,31-5-2024,31,1004,90,7,0,1
Dhenkanal,31-5-2024,34,1001,74,15,0,1
Mayurbhanj,31-5-2024,31,1004,70,7,0,1
 Sonepur,31-5-2024,44,997,34,10,0,1
Bolangir,31-5-2024,44,997,34,10,0,1
Sundargarh,31-5-2024,44,997,34,10,0,12
Jharsuguda,31-5-2024,44,997,34,10,0,6
Sundargarh,30-5-2024,46,995,24,11,0,10
Jharsuguda,1-6-2024,40,998,48,9,0,2
Sundargarh,30-5-2024,46,995,24,11,0,13
Jharsuguda,29-5-2024,46,994,30,7,0,10
BHUBNESWAR,9-6-2024,39,1000,60,9,0,8
Jharsuguda,27-6-2024,29.4,1001,50,8.4,2.6,0
Sundargarh,27-6-2024,41,992,36,6,0,0
Jharsuguda,2024-03-01,33,1014.1,90,6.9,0,0
Jharsuguda,2024-03-02,33,1013.2,90,5.8,0,0
Jharsuguda,2024-03-03,31.2,1012.2,84,8.5,0.2,0
Jharsuguda,2024-03-04,29,1012.7,81,6.5,0,0
Jharsuguda,2024-03-05,33,1013,90,6.9,0,0
Jharsuguda,2024-03-06,35,1012.2,78,6.9,0,0
Jharsuguda,2024-03-07,32,1012,94,6.3,18,0
Jharsuguda,2024-03-08,34.2,1012.8,85,7.6,0,0
Jharsuguda,2024-03-09,32.5,1013.7,84,7.1,0,0
Jharsuguda,2024-03-10,33.1,1014.4,77,6.2,0,0
Jharsuguda,2024-03-11,35,1014.1,79,6.9,0,0
Jharsuguda,2024-03-12,36,1011.9,82,5.3,0,0
Jharsuguda,2024-03-13,37,1010.2,80,8.4,0,0
Jharsuguda,2024-03-14,36,1011.1,75,7.6,0,0
Jharsuguda,2024-03-15,37.6,1010.8,79,6.7,0,0
Sundargarh,2024-03-01,32.9,1014,90,9.2,0,0
Sundargarh,2024-03-02,33.8,1012.8,90,8.3,0,0
Sundargarh,2024-03-03,33.3,1011.7,84,10.6,0.5,0
Sundargarh,2024-03-04,31.7,1012.3,77,9.4,0.6,0
Sundargarh,2024-03-05,34,1012.7,90,10.4,0,0
Sundargarh,2024-03-06,34.1,1012,78,10.5,0,0
Sundargarh,2024-03-07,32.3,1011.8,94,10.2,0,0
Sundargarh,2024-03-08,32.4,1012.7,85,10.7,0,0
Sundargarh,2024-03-09,31.9,1013.6,84,10,0,0
Sundargarh,2024-03-10,33.5,1014.3,77,8.7,0,0
Sundargarh,2024-03-11,35,1014,81,8.3,0,0
Sundargarh,2024-03-12,35.9,1011.5,78,9.2,0,0
Sundargarh,2024-03-13,37.3,1010.1,80,11.5,0,0
Sundargarh,2024-03-14,36.6,1010.8,75,11.2,0,0
Sundargarh,2024-03-15,37.1,1010.8,79,10.7,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
